t,z0,z1,z2,z3,z4,z5
187,-0.065820925,-0.6527398,0.19655403,0.45826843,0.21592075,0.1813007
188,-0.051770493,-0.6473857,0.16306439,0.46279645,0.22663361,0.18032917
189,-0.038607627,-0.64040625,0.12935564,0.4656794,0.23802672,0.17898098
190,-0.026322754,-0.6319009,0.09556845,0.46690014,0.2500384,0.17735289
191,-0.014899324,-0.6219738,0.061842952,0.4664496,0.26260006,0.17554277
192,-0.004314458,-0.6107324,0.028317627,0.46432662,0.27563736,0.17364843
193,0.0054603564,-0.5982861,-0.0048718806,0.46053743,0.289071,0.17176649
194,0.0144585585,-0.58474517,-0.037593834,0.45509538,0.30281764,0.16999128
195,0.02271781,-0.5702192,-0.06972147,0.4480206,0.31679103,0.16841382
196,0.030279301,-0.55481637,-0.10113395,0.43933958,0.33090276,0.1671208
197,0.03718708,-0.53864217,-0.1317173,0.42908496,0.34506336,0.16619371
198,0.043487404,-0.5217987,-0.16136515,0.41729516,0.35918307,0.16570799
199,0.049228135,-0.50438374,-0.18997948,0.4040141,0.37317264,0.16573235
200,0.05445816,-0.48649025,-0.21747115,0.38929093,0.38694414,0.16632807
201,0.059226874,-0.46820563,-0.24376045,0.3731797,0.4004116,0.16754855
202,0.063583694,-0.44961143,-0.26877734,0.35573924,0.41349173,0.16943884
203,0.06757761,-0.43078288,-0.29246175,0.3370327,0.42610425,0.17203534
204,0.071256794,-0.41178882,-0.31476372,0.3171275,0.43817246,0.17536563
205,0.07466825,-0.39269146,-0.33564338,0.29609486,0.4496237,0.17944832
206,0.07785749,-0.37354636,-0.35507074,0.27400967,0.46038958,0.18429312
207,0.08086823,-0.35440245,-0.37302563,0.25095004,0.4704062,0.18990088
208,0.08374219,-0.33530217,-0.38949725,0.22699712,0.47961435,0.1962638
209,0.08651882,-0.3162817,-0.40448394,0.20223463,0.48795977,0.20336577
210,0.08923514,-0.29737106,-0.4179925,0.17674854,0.49539307,0.21118265
211,0.09192556,-0.27859446,-0.43003774,0.1506267,0.50186986,0.2196828
212,0.09462172,-0.2599707,-0.44064185,0.123958364,0.50735074,0.22882745
213,0.09735235,-0.24151343,-0.44983375,0.096833766,0.5118013,0.2385714
214,0.10014316,-0.22323155,-0.45764837,0.06934366,0.5151921,0.24886356
215,0.10301672,-0.20512971,-0.46412587,0.04157881,0.5174986,0.25964755
216,0.10599237,-0.18720862,-0.469311,0.013629518,0.518701,0.27086246
217,0.10908613,-0.16946557,-0.47325218,-0.014414903,0.5187844,0.28244352
218,0.11231065,-0.15189485,-0.47600088,-0.04246664,0.5177385,0.29432282
219,0.115675084,-0.13448822,-0.47761074,-0.070439905,0.5155575,0.30642998
220,0.11918511,-0.1172353,-0.47813693,-0.0982514,0.51224035,0.31869295
221,0.12284285,-0.10012409,-0.4776354,-0.12582089,0.50779015,0.33103868
222,0.12664686,-0.08314135,-0.47616223,-0.15307158,0.50221455,0.3433938
223,0.13059215,-0.06627304,-0.4737728,-0.17993061,0.49552542,0.3556854
224,0.13467018,-0.049504735,-0.4705215,-0.20632951,0.48773867,0.36784157
225,0.13886888,-0.032822017,-0.46646094,-0.23220444,0.47887436,0.379792
226,0.14317277,-0.016210862,-0.46164152,-0.25749668,0.46895638,0.3914688
227,0.14756303,0.00034200444,-0.45611092,-0.28215274,0.4580125,0.40280667
228,0.15201762,0.016848765,-0.44991383,-0.3061247,0.44607407,0.4137438
229,0.15651144,0.033320192,-0.4430915,-0.32937032,0.4331759,0.42422196
230,0.16101655,0.049765345,-0.43568155,-0.35185307,0.41935602,0.43418723
231,0.16550238,0.06619129,-0.42771772,-0.37354228,0.40465564,0.44359007
232,0.16993594,0.082602896,-0.41922966,-0.39441296,0.38911858,0.4523858
233,0.17428222,0.09900253,-0.41024297,-0.4144458,0.37279135,0.46053478
234,0.17850444,0.11538997,-0.4007791,-0.43362686,0.35572255,0.46800256
235,0.1825644,0.13176216,-0.3908554,-0.4519475,0.33796275,0.47476006
236,0.18642294,0.1481131,-0.3804852,-0.46940395,0.31956407,0.4807836
237,0.19004034,0.16443379,-0.36967796,-0.48599696,0.3005798,0.48605502
238,0.19337663,0.1807121,-0.3584395,-0.5017314,0.28106406,0.49056146
239,0.19639222,0.19693275,-0.34677222,-0.51661587,0.2610714,0.49429545
240,0.19904825,0.21307735,-0.33467546,-0.53066206,0.24065639,0.49725473
241,0.2013071,0.22912438,-0.32214576,-0.5438844,0.2198732,0.49944207
242,0.20313285,0.24504931,-0.3091773,-0.5562993,0.19877532,0.50086504
243,0.20449172,0.26082462,-0.29576233,-0.567925,0.177415,0.5015358
244,0.2053526,0.27642006,-0.2818915,-0.5787803,0.15584303,0.5014706
245,0.20568743,0.29180264,-0.26755455,-0.5888847,0.1341083,0.50069
